,theta,when_adopt_1,when_adopt_2,when_adopt_3,traj_sum,returns
000,-0.0307637991804202,0,0,0,0,-0.36853854065212144
001,0.1277738875594503,0,0,1,1,0.30916415209072
010,-0.7754716119124127,0,1,0,1,-0.4930120171747975
011,0.15426078307767038,0,1,1,2,0.5544345561890173
100,-0.047050679849003685,1,0,0,1,-0.5237274848586408
101,0.39656984427299086,1,0,1,2,-0.2902771082504041
110,0.3296007201803468,1,1,0,2,-0.8047206323389706
111,0.13108279385792126,1,1,1,3,-2.249777316244364
